,unique_problem_label,ten_percentile_group,method,total_tokens,correct,params,result_description
0,MathArena/brumo_2025: 21,8,reflexion,51640,TRUE,max_attempt=3,
0,MathArena/brumo_2025: 21,8,tot,193183,TRUE,all=4,
0,MathArena/brumo_2025: 21,8,rejection_sampling_basic,75289,FALSE,n_steps=10,
0,MathArena/brumo_2025: 21,8,rejection_sampling_summarized,206756,FALSE,n_steps=10,2nd
0,MathArena/brumo_2025: 25,6,reflexion,26699,TRUE,max_attempt=3,
0,MathArena/brumo_2025: 25,6,tot,137327,TRUE,all=3,
0,MathArena/brumo_2025: 25,6,rejection_sampling_basic,64185,TRUE,n_steps=10,
0,MathArena/brumo_2025: 25,6,rejection_sampling_summarized,201577,TRUE,n_steps=10,
0,MathArena/cmimc_2025: 5,4,reflexion,6139,FALSE,max_attempt=3,
0,MathArena/cmimc_2025: 5,4,tot,92400,FALSE,all=3,
0,MathArena/cmimc_2025: 5,4,rejection_sampling_basic,118835,FALSE,n_steps=10,2nd
0,MathArena/cmimc_2025: 5,4,rejection_sampling_summarized,207031,FALSE,n_steps=10,3rd
0,MathArena/hmmt_feb_2025: 30,2,reflexion,154919,FALSE,max_attempt=100,
0,MathArena/hmmt_feb_2025: 30,2,tot,223926,FALSE,all=3,
0,MathArena/hmmt_feb_2025: 30,2,rejection_sampling_basic,1700228,FALSE,n_steps=100,
0,MathArena/hmmt_feb_2025: 30,2,rejection_sampling_summarized,1858933,FALSE,n_steps=100,
0,MathArena/aime_2025: 15,1,reflexion,109203,FALSE,max_attempt=3,
0,MathArena/aime_2025: 15,1,tot,338169,FALSE,all=3,
0,MathArena/aime_2025: 15,1,rejection_sampling_basic,85649,FALSE,n_steps=10,
0,MathArena/aime_2025: 15,1,rejection_sampling_summarized,225286,FALSE,n_steps=10,
