Predicted: Geometry | Actual: Geometry
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Number Theory | Actual: Algebra
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Geometry | Actual: Algebra
Predicted: Geometry | Actual: Algebra
Predicted: Geometry | Actual: Geometry
Predicted: Number Theory | Actual: Number Theory
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Geometry | Actual: Algebra
Predicted: Number Theory | Actual: Number Theory
Predicted: Algebra | Actual: Algebra
Predicted: Algebra | Actual: Algebra
Predicted: Algebra | Actual: Algebra
Predicted: Number Theory | Actual: Algebra
Predicted: Algebra | Actual: Algebra
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Probability | Actual: Combinatorics
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Algebra | Actual: Algebra
Predicted: Geometry | Actual: Algebra
Predicted: Algebra | Actual: Algebra
Predicted: Probability | Actual: Combinatorics
Predicted: Probability | Actual: Combinatorics
Predicted: Probability | Actual: Combinatorics
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Probability | Actual: Combinatorics
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry
Predicted: Number Theory | Actual: Number Theory
Predicted: Probability | Actual: Combinatorics
Predicted: Number Theory | Actual: Algebra
Predicted: Probability | Actual: Combinatorics
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Algebra | Actual: Algebra
Predicted: Geometry | Actual: Geometry
Predicted: Algebra | Actual: Algebra
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Number Theory | Actual: Number Theory
Predicted: Number Theory | Actual: Number Theory
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Geometry | Actual: Geometry
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Probability | Actual: Geometry
Predicted: Number Theory | Actual: Algebra
Predicted: Geometry | Actual: Geometry
Predicted: Algebra | Actual: Algebra
Predicted: Probability | Actual: Combinatorics
Predicted: Combinatorics | Actual: Combinatorics
Predicted: Algebra | Actual: Algebra
Predicted: Number Theory | Actual: Number Theory
Predicted: Geometry | Actual: Geometry
Predicted: Geometry | Actual: Geometry

Accuracy: 73.85%
